iter	Passed	Remaining
1144	62314	2658822
1145	62371	2658914
1146	62423	2658723
1147	62476	2658613
1148	62531	2658592
1149	62584	2658475
1150	62639	2658433
1151	62692	2658352
1152	62745	2658242
1153	62800	2658193
1154	62855	2658159
1155	62907	2658024
1156	62961	2657953
1157	63014	2657829
1158	63068	2657762
1159	63122	2657671
1160	63176	2657585
1161	63230	2657549
1162	63287	2657564
1163	63340	2657457
1164	63394	2657401
1165	63447	2657275
1166	63500	2657166
1167	63554	2657093
1168	63608	2657046
1169	63662	2656948
1170	63716	2656864
1171	63769	2656779
1172	63823	2656703
1173	63877	2656618
1174	63932	2656597
1175	63988	2656619
1176	64041	2656499
1177	64095	2656413
1178	64155	2656614
1179	64208	2656510
1180	64263	2656457
1181	64318	2656428
1182	64372	2656373
1183	64430	2656461
1184	64486	2656442
1185	64540	2656398
1186	64595	2656363
1187	64649	2656288
1188	64704	2656262
1189	64758	2656187
1190	64812	2656106
1191	64867	2656064
1192	64920	2655990
1193	64974	2655882
1194	65028	2655838
1195	65082	2655763
1196	65136	2655704
1197	65192	2655706
1198	65247	2655656
1199	65290	2655155
1200	65343	2655037
1201	65398	2655016
1202	65452	2654923
1203	65504	2654797
1204	65558	2654696
1205	65612	2654622
1206	65667	2654602
1207	65721	2654542
1208	65770	2654247
1209	65824	2654202
1210	65879	2654151
1211	65936	2654212
1212	65991	2654181
1213	66045	2654106
1214	66096	2653930
1215	66153	2653973
1216	66207	2653896
1217	66262	2653860
1218	66316	2653814
1219	66369	2653704
1220	66417	2653370
1221	66471	2653316
1222	66525	2653233
1223	66566	2652659
1224	66620	2652589
1225	66674	2652530
1226	66728	2652444
1227	66782	2652369
1228	66836	2652314
1229	66890	2652234
1230	66942	2652090
1231	66997	2652052
1232	67052	2652007
1233	67106	2651969
1234	67163	2652021
1235	67217	2651926
1236	67275	2652024
1237	67329	2651936
1238	67382	2651831
1239	67438	2651850
1240	67494	2651862
1241	67549	2651838
1242	67602	2651736
1243	67656	2651662
1244	67704	2651343
1245	67759	2651310
1246	67813	2651265
1247	67868	2651211
1248	67912	2650763
1249	67966	2650699
1250	68021	2650649
1251	68080	2650782
1252	68135	2650777
1253	68190	2650738
1254	68240	2650505
1255	68294	2650426
1256	68348	2650360
1257	68402	2650279
1258	68460	2650402
1259	68511	2650208
1260	68565	2650142
1261	68620	2650089
1262	68680	2650273
1263	68737	2650304
1264	68794	2650362
1265	68850	2650374
1266	68899	2650121
1267	68954	2650087
1268	69010	2650088
1269	69067	2650118
1270	69124	2650168
1271	69181	2650210
1272	69237	2650216
1273	69294	2650285
1274	69353	2650401
1275	69408	2650361
1276	69461	2650256
1277	69510	2649997
1278	69563	2649889
1279	69611	2649570
1280	69660	2649329
1281	69712	2649184
1282	69765	2649072
1283	69821	2649081
1284	69875	2649017
1285	69930	2648975
1286	69984	2648906
1287	70039	2648866
1288	70087	2648599
1289	70141	2648511
1290	70195	2648435
1291	70249	2648402
1292	70307	2648458
1293	70361	2648381
1294	70414	2648286
1295	70467	2648181
1296	70521	2648129
1297	70575	2648035
1298	70621	2647689
1299	70674	2647590
1300	70729	2647545
1301	70786	2647593
1302	70839	2647492
1303	70893	2647418
1304	70948	2647374
1305	71001	2647290
1306	71060	2647415
1307	71113	2647308
1308	71167	2647227
1309	71227	2647369
1310	71280	2647257
1311	71333	2647184
1312	71389	2647166
1313	71445	2647181
1314	71499	2647111
1315	71553	2647061
1316	71609	2647065
1317	71662	2646963
1318	71717	2646896
1319	71770	2646823
1320	71825	2646760
1321	71878	2646684
1322	71933	2646629
1323	71985	2646518
1324	72041	2646497
1325	72095	2646423
1326	72149	2646358
1327	72203	2646292
1328	72256	2646195
1329	72319	2646446
1330	72373	2646387
1331	72426	2646275
1332	72480	2646211
1333	72535	2646174
1334	72589	2646124
1335	72644	2646076
1336	72698	2646009
1337	72752	2645950
1338	72807	2645936
1339	72861	2645868
1340	72915	2645784
1341	72968	2645668
1342	73022	2645611
1343	73076	2645536
1344	73129	2645428
1345	73177	2645168
1346	73229	2645029
1347	73282	2644907
1348	73323	2644364
1349	73379	2644392
1350	73437	2644440
1351	73490	2644363
1352	73546	2644342
1353	73594	2644080
1354	73648	2643996
1355	73701	2643895
1356	73755	2643850
1357	73808	2643736
1358	73863	2643720
1359	73922	2643800
1360	73970	2643544
1361	74025	2643486
1362	74083	2643572
1363	74136	2643491
1364	74189	2643390
1365	74244	2643338
1366	74298	2643281
1367	74353	2643242
1368	74408	2643218
1369	74462	2643153
1370	74515	2643045
1371	74562	2642733
1372	74617	2642684
1373	74672	2642651
1374	74725	2642571
1375	74779	2642481
1376	74833	2642436
1377	74888	2642394
1378	74939	2642245
1379	74994	2642203
1380	75048	2642142
1381	75101	2642018
1382	75156	2641982
1383	75210	2641931
1384	75265	2641903
1385	75321	2641891
1386	75372	2641730
1387	75424	2641607
1388	75478	2641528
1389	75536	2641590
1390	75592	2641592
1391	75651	2641723
1392	75705	2641647
1393	75758	2641563
1394	75815	2641570
1395	75867	2641449
1396	75914	2641145
1397	75970	2641126
1398	76022	2641008
1399	76075	2640916
1400	76129	2640827
1401	76183	2640780
1402	76237	2640711
1403	76290	2640623
1404	76344	2640539
1405	76398	2640466
1406	76453	2640428
1407	76507	2640363
1408	76565	2640466
1409	76623	2640535
1410	76676	2640431
1411	76732	2640422
1412	76787	2640400
1413	76844	2640435
1414	76897	2640330
1415	76945	2640049
1416	76998	2639970
1417	77050	2639825
1418	77105	2639779
1419	77159	2639735
1420	77214	2639677
1421	77268	2639613
1422	77321	2639528
1423	77375	2639461
1424	77429	2639387
1425	77483	2639313
1426	77536	2639218
1427	77590	2639175
1428	77644	2639097
1429	77699	2639061
1430	77750	2638886
1431	77803	2638789
1432	77855	2638656
1433	77909	2638605
1434	77960	2638427
1435	78015	2638400
1436	78068	2638309
1437	78124	2638317
1438	78177	2638208
1439	78232	2638172
1440	78286	2638119
1441	78339	2638020
1442	78393	2637928
1443	78446	2637858
1444	78499	2637750
1445	78553	2637665
1446	78607	2637605
1447	78660	2637527
1448	78718	2637576
1449	78772	2637511
1450	78829	2637544
1451	78882	2637443
1452	78936	2637385
1453	78990	2637317
1454	79044	2637251
1455	79094	2637068
1456	79147	2636957
1457	79206	2637054
1458	79258	2636937
1459	79314	2636951
1460	79369	2636903
1461	79424	2636867
1462	79472	2636599
1463	79525	2636515
1464	79579	2636447
1465	79633	2636374
1466	79688	2636362
1467	79744	2636353
1468	79798	2636296
1469	79852	2636212
1470	79907	2636184
1471	79961	2636112
1472	80014	2636010
1473	80068	2635948
1474	80122	2635906
1475	80175	2635806
1476	80230	2635773
1477	80285	2635732
1478	80338	2635632
1479	80391	2635550
1480	80446	2635490
1481	80500	2635447
1482	80555	2635398
1483	80607	2635286
1484	80661	2635214
1485	80714	2635131
1486	80768	2635044
1487	80826	2635107
1488	80882	2635128
1489	80933	2634958
1490	80990	2634998
1491	81044	2634928
1492	81100	2634916
1493	81153	2634838
1494	81207	2634769
